0,K. Mbappe,1,88,72,95,27,96,100,100
0,L. Messi,1,90,88,97,36,81,100,100
0,C. Ronaldo,1,93,86,94,41,99,100,100
0,F. Valverde,2,97,85,74,77,88,100,100 
0,R. Cherki,2,82,93,87,52,83,100,100
0,M. Olise,2,86,84,90,43,86,100,100
0,A. Sayatevich,3,67,67,67,67,1,100,100
0,D. Korolev,3,99,99,99,99,99,100,100 
0,V. Van Djik,3,61,82,54,95,89,100,100
0,N. Mendes,3,80,83,81,93,91,100,100
0,M. Safonov,0,37,84,34,45,84,95,100,100
1,M. Neuer,0,30,81,46,53,71,94,100,100
1,H. Ekitike,1,84,76,85,56,82,100,100
1,R. Ngumoha,1,76,71,79,32,79,100,100
1,D. Szoboszlai,2,77,85,76,81,85,100,100 
1,F. Mendy,3,68,76,66,83,73,100,100
